Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010;;;;;;
Variável;Produto Interno Bruto a preços correntes (Mil Reais);;;;;
Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica;Ano;PIB corrente;POPU;Deflat2013;PIBreal;PIBrealpercapita
Brasil;2010;3885847000;190747855;0,827811912;4694118245; 24.609,02 
Brasil;2011;4373658000;192379287;0,885498294;4939205452; 25.674,31 
Brasil;2012;4805913000;193946886;0,92915511;5172347380; 26.668,89 
Brasil;2013;5316453957;201032714;1;5316453957; 26.445,72 
Norte;2010;207111154;15880839;0,827811912;250191077,2; 15.754,27 
Norte;2011;241090374;16095187;0,885498294;272265204,5; 16.915,94 
Norte;2012;258770937;16318163;0,92915511;278501333,3; 17.066,95 
Norte;2013;292341723;16983484;1;292341723; 17.213,30 
Nordeste;2010;522765209;53078137;0,827811912;631502399,7; 11.897,60 
Nordeste;2011;583414355;53501859;0,885498294;658854296,1; 12.314,61 
Nordeste;2012;652258812;53907144;0,92915511;701991308,9; 13.022,23 
Nordeste;2013;722809161;55794707;1;722809161; 12.954,80 
Sudeste;2010;2180954306;80353724;0,827811912;2634601259; 32.787,54 
Sudeste;2011;2453154555;80975616;0,885498294;2770366213; 34.212,35 
Sudeste;2012;2686988353;81565983;0,92915511;2891861997; 35.454,27 
Sudeste;2013;2938538823;84465570;1;2938538823; 34.789,78 
Sul;2010;620196524;27384815;0,827811912;749199806; 27.358,22 
Sul;2011;695989512;27562433;0,885498294;785986282,4; 28.516,58 
Sul;2012;763896958;27731644;0,92915511;822141480,6; 29.646,33 
Sul;2013;878149624;28795762;1;878149624; 30.495,79 
Centro-Oeste;2010;354819807;14050340;0,827811912;428623702,8; 30.506,29 
Centro-Oeste;2011;400009203;14244192;0,885498294;451733454,3; 31.713,52 
Centro-Oeste;2012;443997941;14423952;0,92915511;477851260,9; 33.129,01 
Centro-Oeste;2013;484614625;14993191;1;484614625; 32.322,31 
