"Tabela 1286 - População e Distribuição da população pelas Grandes Regiões e Unidades da Federação nos Censos Demográficos"
"Variável";"População (Pessoas)"
"Ano";"2010"
"Brasil, Grande Região e Unidade da Federação"
"Brasil";190755799
"Norte";15864454
"Nordeste";53081950
"Sudeste";80364410
"Sul";27386891
"Centro-Oeste";14058094
"Paraná";10444526
"Santa Catarina";6248436
"Rio Grande do Sul";10693929
"Nota:

1 - Para 1872 até 1950: População presente;

2 - Para 1960 até 1980: População recenseada;

3 - Para 1991 até 2010: População residente;

4 - Para 1940, 1950 e 1960: Os dados referentes ao Brasil e à região Sudeste incluem a população da região de Serra dos Aimorés, área de litigio entre Minas Gerais e Espírito Santo;

5 - Os dados referentes à unidade da federação Pernambuco, referentes aos anos 1950, 1960, 1970 e 1980, incluem os do território federal de Fernando de Noronha;

6 - Os dados referentes à unidade da federação Pernambuco, a partir de 1991, incluem os do distrito estadual de Fernando de Noronha, criado em 06.10.1988;

7 - Para 1940, 1950 e 1960: Os dados para a unidade da federação Minas Gerais incluem a população recenseada na parte da Serra dos Aimorés anexada à unidade da federação Minas Gerais;

8 - Para 1940, 1950 e 1960: Os dados para a unidade da federação Espírito Santo incluem a população recenseada na parte da Serra dos Aimorés anexada à unidade da federação Espírito Santo;

9 - Para 2000: Dados da Sinopse Preliminar;

10 - Para 2010: Dados da Sinopse;

11 - Até 1970: Os dados referentes à unidade da federação Rio de Janeiro incluem os da antiga Guanabara;

12 - A unidade da federação Tocantins foi criada em obediência à Constituição Federal de 1988. Os dados populacionais referentes ao novo estado, para os Censos de 1940 a 1980, foram desmembrados da unidade da federação de origem, neste caso Goiás;

13 - A unidade da federação Mato Grosso do Sul foi criada através da Lei Complementar Nº 31, de 11 de outubro de 1977, e sua instalação em 1º de janeiro de 1979. Para os Censos de 1940 a 1970, seus dados populacionais foram desmembrados da unidade da federação de origem, neste caso Mato Grosso."
"Fonte: IBGE - Censo Demográfico"
