População residente - 1º de julho - estimativas						
Sigla	Código	Micro-região	2011	2012	2013	2014
AC	12001	Cruzeiro do Sul	133688	135803	138755	141056
AC	12002	Tarauacá	75413	76221	77129	77929
AC	12003	Sena Madureira	51691	52651	54071	55143
AC	12004	Rio Branco	425791	433224	444009	452251
AC	12005	Brasiléia	59792	60887	62499	63722
AL	27001	Serrana do Sertão Alagoano	89529	89571	92964	93456
AL	27002	Alagoana do Sertão do São Francisco	80371	81088	84669	85317
AL	27003	Santana do Ipanema	171742	172228	178863	179392
AL	27004	Batalha	92664	92444	96367	96699
AL	27005	Palmeira dos Índios	175029	175361	181875	181915
AL	27006	Arapiraca	413972	416709	434661	437452
AL	27007	Traipu	37575	38080	39653	39837
AL	27008	Serrana dos Quilombos	146831	147188	152901	153191
AL	27009	Mata Alagoana	302918	304291	316769	318124
AL	27010	Litoral Norte Alagoano	67438	68000	70976	71486
AL	27011	Maceió	1153231	1165310	1218197	1229071
AL	27012	São Miguel dos Campos	286938	289704	302432	304664
AL	27013	Penedo	125100	125498	130608	131126
AM	13001	Rio Negro	98181	99826	106390	108516
AM	13002	Japurá	24950	25044	24393	23966
AM	13003	Alto Solimões	227849	231482	240175	242875
AM	13004	Juruá	129801	131695	139876	142338
AM	13005	Tefé	87476	87520	90852	90982
AM	13006	Coari	154453	156671	166344	169227
AM	13007	Manaus	2073755	2106861	2242712	2285623
AM	13008	Rio Preto da Eva	54270	55600	59977	61674
AM	13009	Itacoatiara	154241	156384	165918	168711
AM	13010	Parintins	245638	248506	262719	266488
AM	13011	Boca do Acre	49154	49500	51941	52413
AM	13012	Purus	70224	70911	74737	75649
AM	13013	Madeira	168367	170985	181887	185281
AP	16001	Oiapoque	30268	31004	32779	33607
AP	16002	Amapá	25032	25619	27052	27711
AP	16003	Macapá	558038	569504	598870	611615
AP	16004	Mazagão	70963	72475	76295	77979
BA	29001	Barreiras	292215	298118	321062	326787
BA	29002	Cotegipe	115128	115428	121912	122358
BA	29003	Santa Maria da Vitória	178315	178323	189564	189796
BA	29004	Juazeiro	457979	461441	491297	494867
BA	29005	Paulo Afonso	168491	169823	180862	182289
BA	29006	Barra	172544	173417	184705	185881
BA	29007	Bom Jesus da Lapa	172117	172975	182438	183427
BA	29008	Senhor do Bonfim	288039	289262	307095	308568
BA	29009	Irecê	375034	376724	400033	402131
BA	29010	Jacobina	327538	328233	347825	348317
BA	29011	Itaberaba	249453	249549	264041	264253
BA	29012	Feira de Santana	996519	1003586	1068087	1075697
BA	29013	Jeremoabo	98930	98486	103758	103472
BA	29014	Euclides da Cunha	298669	299146	316859	317665
BA	29015	Ribeira do Pombal	310687	311896	331015	332500
BA	29016	Serrinha	417102	419176	445298	447707
BA	29017	Alagoinhas	310498	312520	332440	334674
BA	29018	Entre Rios	116428	117308	124892	125840
BA	29019	Catu	213717	215315	229226	230951
BA	29020	Santo Antônio de Jesus	542603	545271	579220	582505
BA	29021	Salvador	3492113	3524564	3758256	3792317
BA	29022	Boquira	188045	188675	197866	198620
BA	29023	Seabra	254292	254396	269630	270898
