Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região;Microrregião
SC;4201273;Arabutã;3980,045344;4470,332167;4831,481885;4735,884903;5337,615952;5579,900769;5300,07302;4526,442703;5819,594995;6569,314765;6125,604718;4807,780528;SUL;Concórdia
SC;4201307;Araquari;4237,285409;4693,716249;5453,612626;4647,063473;5644,155727;5182,338591;5540,53551;6131,568623;6076,807258;6846,059174;6887,337021;9463,789713;SUL;Joinville
SC;4201406;Araranguá;4605,143639;4552,010457;4994,166264;5127,674695;5444,62891;5538,320304;5458,590093;5184,21814;5847,530448;6144,659344;6191,320509;5831,546342;SUL;Araranguá
SC;4201505;Armazém;3955,245284;4476,281881;4171,188213;3997,763873;4331,349756;4327,475344;4638,223413;4604,393253;4632,018638;5195,053288;5611,577739;5372,774418;SUL;Tubarão
SC;4201604;Arroio Trinta;4270,507159;4394,406506;7592,244613;4849,167583;5169,033264;5682,511128;5620,838451;5215,061494;5819,429558;6500,852869;6345,987119;6075,750188;SUL;Joaçaba
SC;4201653;Arvoredo;3431,931338;3982,960819;5034,220399;4115,982786;5799,457973;6223,234155;6338,905579;5269,976857;5742,79064;7484,764035;6992,282975;8560,794348;SUL;Concórdia
SC;4201703;Ascurra;5536,076246;5922,575538;4798,050456;5621,291894;5545,251987;5331,801773;5512,74793;5546,26506;6238,228271;5877,521927;6262,270791;6424,271959;SUL;Blumenau
SC;4201802;Atalanta;4949,237715;5422,023158;8072,620039;5827,922442;6105,992473;6555,827246;6608,046652;6145,196378;6591,448548;7134,030631;7159,77798;8530,726591;SUL;Ituporanga
SC;4201901;Aurora;5080,214996;5999,739832;7703,72016;6452,603927;6662,741145;7720,101674;7081,078327;7586,128651;7720,191314;8332,586284;7573,341976;8014,680319;SUL;Rio do Sul
SC;4201950;Balneário Arroio do Silva;4016,211024;4301,508575;2146,768666;3957,77783;4019,765643;3755,77375;3876,900621;3919,400213;3743,942581;3671,361701;3796,884517;3835,777599;SUL;Araranguá
SC;4202057;Balneário Barra do Sul;5270,311577;5719,400224;4193,600047;4150,502837;4230,515419;4114,276525;4327,941255;4917,463793;5487,024579;5249,503039;5240,849195;5062,895055;SUL;Joinville
SC;4202008;Balneário Camboriú;6547,547961;7249,032393;6734,078644;6476,540035;6448,116048;6374,423519;6759,836459;6954,414113;7440,450681;7534,122096;8067,309213;8287,420507;SUL;Itajaí
SC;4202073;Balneário Gaivota;3509,911595;3956,872547;3742,005761;3995,970326;4185,00094;3804,65522;3836,576519;3796,597652;3646,172344;3700,806383;3862,766147;3776,635665;SUL;Araranguá
