Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região;Microrregião
SC;4200051;Abdon Batista;3670,135896;3658,213985;4015,646856;4428,274545;4756,468984;4448,11901;4100,210268;4417,199733;4991,127275;6027,010634;6158,306454;5953,813;SUL;Curitibanos
SC;4200101;Abelardo Luz;7015,530759;7206,08801;6395,411199;7167,576471;9268,0208;8893,616733;6861,645358;6329,84424;9067,140214;10613,75956;11795,23266;10064,57419;SUL;Xanxerê
SC;4200200;Agrolândia;5229,480288;5379,810567;5793,278332;5866,73659;7033,377671;7723,430856;6920,719615;7321,791061;7016,032949;7594,702;6956,155912;7741,054479;SUL;Ituporanga
SC;4200309;Agronômica;6108,980445;6779,747542;6720,678207;7975,362978;8631,347905;9764,36753;8775,474675;5987,900099;6459,531704;6999,450026;7886,14719;8620,289926;SUL;Rio do Sul
SC;4200408;Água Doce;6018,762834;6591,997007;6856,475161;7299,19465;9342,305734;10382,66649;11416,92737;10515,17581;9978,119481;14596,65138;16670,7677;12579,1436;SUL;Joaçaba
SC;4200507;Águas de Chapecó;3226,680914;3634,409504;3612,64259;3857,059371;4532,293399;4939,626694;4523,874973;4450,924481;6106,831795;9549,032686;9693,449389;9264,175953;SUL;Chapecó
SC;4200556;Águas Frias;3636,008543;3952,835438;4118,229732;4982,390585;5895,592195;7508,975547;8876,54165;9150,011419;10829,89681;12029,46492;10426,77747;11422,31226;SUL;Chapecó
SC;4200606;Águas Mornas;4429,199682;5147,331431;4948,989771;4723,341574;5849,549448;5078,436852;5306,325233;4958,544887;5090,782099;6013,967509;5794,185789;5182,768781;SUL;Tabuleiro
SC;4200705;Alfredo Wagner;5325,265762;6730,159191;7053,793509;7249,023681;6805,509247;7194,160448;6763,988394;8850,257606;5514,952134;5409,010973;7996,385371;8615,332881;SUL;Tabuleiro
SC;4200754;Alto Bela Vista;4042,79993;5191,863383;6169,675438;6264,45586;7638,270589;6701,455727;7677,807442;6550,76357;6990,815995;7324,443236;6915,079245;7042,205508;SUL;Concórdia
SC;4200804;Anchieta;3775,655107;4084,652633;4068,294876;4547,717603;5391,256094;6137,935584;5879,966943;6094,568112;5604,708307;6150,277062;6278,223848;6556,492664;SUL;São Miguel do Oeste
SC;4200903;Angelina;3708,677076;4074,184122;4030,087448;4064,296375;4439,010094;4401,934346;4479,871806;4117,957573;4196,726187;5181,97792;5662,417001;5551,956719;SUL;Tijucas
SC;4201000;Anita Garibaldi;2508,74049;2805,176857;2815,891647;3243,062927;3565,014224;3246,071686;3360,795211;3099,304183;3534,419508;3882,90843;3816,762931;4185,148024;SUL;Campos de Lages
SC;4201109;Anitápolis;5130,92236;6221,461664;5755,117861;6309,701374;6899,450684;6657,398784;6059,859846;6194,776094;5040,610872;6365,257453;5510,300632;5843,264642;SUL;Tabuleiro
SC;4201208;Antônio Carlos;11533,53052;12045,02125;13569,70527;12188,5838;14157,76053;14161,94527;15341,0371;15912,70319;15777,55947;14886,37102;16536,21075;16726,0768;SUL;Florianópolis
SC;4201257;Apiúna;6375,184171;6613,724352;8610,374387;7285,463812;8039,0033;9558,065211;8740,936078;9856,649163;9770,280324;10589,86678;9876,193823;7837,524068;SUL;Blumenau
SC;4201273;Arabutã;3980,045344;4470,332167;4831,481885;4735,884903;5337,615952;5579,900769;5300,07302;4526,442703;5819,594995;6569,314765;6125,604718;4807,780528;SUL;Concórdia
SC;4201307;Araquari;4237,285409;4693,716249;5453,612626;4647,063473;5644,155727;5182,338591;5540,53551;6131,568623;6076,807258;6846,059174;6887,337021;9463,789713;SUL;Joinville
SC;4201406;Araranguá;4605,143639;4552,010457;4994,166264;5127,674695;5444,62891;5538,320304;5458,590093;5184,21814;5847,530448;6144,659344;6191,320509;5831,546342;SUL;Araranguá
SC;4201505;Armazém;3955,245284;4476,281881;4171,188213;3997,763873;4331,349756;4327,475344;4638,223413;4604,393253;4632,018638;5195,053288;5611,577739;5372,774418;SUL;Tubarão
SC;4201604;Arroio Trinta;4270,507159;4394,406506;7592,244613;4849,167583;5169,033264;5682,511128;5620,838451;5215,061494;5819,429558;6500,852869;6345,987119;6075,750188;SUL;Joaçaba
SC;4201653;Arvoredo;3431,931338;3982,960819;5034,220399;4115,982786;5799,457973;6223,234155;6338,905579;5269,976857;5742,79064;7484,764035;6992,282975;8560,794348;SUL;Concórdia
SC;4201703;Ascurra;5536,076246;5922,575538;4798,050456;5621,291894;5545,251987;5331,801773;5512,74793;5546,26506;6238,228271;5877,521927;6262,270791;6424,271959;SUL;Blumenau
SC;4201802;Atalanta;4949,237715;5422,023158;8072,620039;5827,922442;6105,992473;6555,827246;6608,046652;6145,196378;6591,448548;7134,030631;7159,77798;8530,726591;SUL;Ituporanga
SC;4201901;Aurora;5080,214996;5999,739832;7703,72016;6452,603927;6662,741145;7720,101674;7081,078327;7586,128651;7720,191314;8332,586284;7573,341976;8014,680319;SUL;Rio do Sul
SC;4201950;Balneário Arroio do Silva;4016,211024;4301,508575;2146,768666;3957,77783;4019,765643;3755,77375;3876,900621;3919,400213;3743,942581;3671,361701;3796,884517;3835,777599;SUL;Araranguá
SC;4202057;Balneário Barra do Sul;5270,311577;5719,400224;4193,600047;4150,502837;4230,515419;4114,276525;4327,941255;4917,463793;5487,024579;5249,503039;5240,849195;5062,895055;SUL;Joinville
SC;4202008;Balneário Camboriú;6547,547961;7249,032393;6734,078644;6476,540035;6448,116048;6374,423519;6759,836459;6954,414113;7440,450681;7534,122096;8067,309213;8287,420507;SUL;Itajaí
SC;4202073;Balneário Gaivota;3509,911595;3956,872547;3742,005761;3995,970326;4185,00094;3804,65522;3836,576519;3796,597652;3646,172344;3700,806383;3862,766147;3776,635665;SUL;Araranguá
SC;4202081;Bandeirante;2415,894524;2528,210172;3113,911902;3132,016786;4215,982402;4712,233155;4739,280282;3961,546544;4343,189143;4965,461023;5138,568464;5769,620399;SUL;São Miguel do Oeste
SC;4202099;Barra Bonita;4030,890312;4233,938158;4405,531206;4357,819928;5728,662457;5848,935657;5174,724419;4899,741333;5216,269541;6223,919108;5829,229831;6424,819962;SUL;São Miguel do Oeste
SC;4202107;Barra Velha;3894,225945;4111,97072;4127,842083;4243,497626;5084,76516;6008,146425;7088,923826;7120,30602;7735,883783;7395,56531;7841,988357;7680,956632;SUL;Itajaí
SC;4202131;Bela Vista do Toldo;3421,954746;4629,101307;4719,195359;5803,386899;7183,851576;6752,47523;5962,923287;5367,409568;6593,048219;7517,08291;7318,376966;8097,292723;SUL;Canoinhas
SC;4202156;Belmonte;3659,411072;4169,50134;4428,929981;3951,868285;5764,326095;6404,490321;6284,398153;5862,466015;4861,809318;5156,999522;5414,277099;5420,827143;SUL;São Miguel do Oeste
SC;4202206;Benedito Novo;4666,086164;4716,329892;4794,160015;5144,01287;6008,95213;6891,043372;6599,326409;7249,759256;6403,119698;5679,10147;5585,538328;5592,324217;SUL;Blumenau
SC;4202305;Biguaçu;9357,374569;9973,61158;9678,839361;9032,618262;10201,33254;9286,125663;9322,934654;8885,240747;10870,68694;10156,57664;10316,87389;10257,19067;SUL;Florianópolis
SC;4202404;Blumenau;12308,1692;13029,92712;12048,06648;11500,17911;10829,60534;11045,10238;11301,48082;12078,17952;12781,00313;12916,80912;12383,11979;12923,63305;SUL;Blumenau
