Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região
GO;5200050;Abadia de Goiás;2424,936554;3245,043281;2267,852659;2679,406092;2614,865814;2471,130898;2428,909391;2475,271378;2911,917567;2942,722344;2987,580794;3359,222562;CENTRO-OESTE
MG;3100104;Abadia dos Dourados;3579,578483;3569,026138;3390,892363;3570,894244;3721,972227;3878,019887;4187,955956;4339,807063;4870,404006;5381,286557;5127,203916;5272,835866;SUDESTE
GO;5200100;Abadiânia;2191,44097;2432,274479;2300,038443;2599,456671;2859,659738;2869,877001;2588,491457;2513,736983;2776,223358;2794,895524;2976,071895;3108,015394;CENTRO-OESTE
MG;3100203;Abaeté;3807,532532;3674,63821;4052,176372;4096,004938;4270,077213;4296,035253;4462,776171;4376,826031;4893,064708;5899,148871;4999,945484;5120,55414;SUDESTE
PA;1500107;Abaetetuba;1339,892232;1257,703975;1279,147996;1319,229621;1328,777173;1343,378613;1332,962282;1432,191342;1559,178438;1525,603468;1578,193714;1689,721021;NORTE
CE;2300101;Abaiara;1474,890508;1588,350021;1255,764763;1214,248458;1316,224123;1267,950404;1197,107095;1365,107834;1259,806939;1401,207037;1464,190767;1529,317179;NORDESTE
BA;2900108;Abaíra;1002,373142;876,5182457;1607,522446;1776,760345;1294,364358;1251,287612;1378,916812;1452,990026;1568,748661;1549,824466;1610,22995;1895,556515;NORDESTE
BA;2900207;Abaré;993,0236706;1012,565304;1206,848144;1185,867371;1274,753928;1114,75288;1301,926995;1360,881399;1348,43969;1374,644368;1462,228343;1677,757958;NORDESTE
PR;4100103;Abatiá;2175,320801;1984,068044;2539,834954;3187,723135;3779,983262;4261,200672;3622,40803;3422,830365;3742,282839;3824,087987;3399,166686;3370,285956;SUL
SC;4200051;Abdon Batista;3670,135896;3658,213985;4015,646856;4428,274545;4756,468984;4448,11901;4100,210268;4417,199733;4991,127275;6027,010634;6158,306454;5953,813;SUL
PA;1500131;Abel Figueiredo;2516,5058;2906,016146;2935,970593;3844,296403;3300,617388;2821,949009;2948,086326;2842,952914;3543,459136;3001,896204;2980,597787;3039,465169;NORTE
SC;4200101;Abelardo Luz;7015,530759;7206,08801;6395,411199;7167,576471;9268,0208;8893,616733;6861,645358;6329,84424;9067,140214;10613,75956;11795,23266;10064,57419;SUL
MG;3100302;Abre Campo;4427,924307;4374,57292;3320,466762;3256,897399;2902,658707;3146,076566;3509,611768;3263,375495;3271,031964;3387,042311;3483,904798;3577,791195;SUDESTE
PE;2600054;Abreu e Lima;3075,425099;3167,316113;2896,064332;2962,269639;3099,433153;3430,207158;3269,309733;3299,498868;3431,596677;3667,381609;3686,638348;4005,850739;NORDESTE
TO;1700251;Abreulândia;2642,569201;2714,771782;3362,826662;2710,171376;2815,191204;2731,791445;2848,498458;3031,346202;3553,097674;3579,54651;3639,467868;3566,08214;NORTE
MG;3100401;Acaiaca;1978,333088;1888,533215;1937,838893;2082,225096;2219,149329;2156,608298;2125,940794;2194,758838;2257,930164;2462,982034;2450,488784;2701,726502;SUDESTE
MA;2100055;Açailândia;4333,780709;4840,822288;5219,866899;5982,163274;6576,092198;6447,328761;6972,152882;7852,821241;10352,9925;9140,475648;6212,930709;5605,911204;NORDESTE
BA;2900306;Acajutiba;1493,635878;1825,740308;1584,036178;1859,764132;1644,736153;1549,460297;1688,117299;1709,31178;1687,896819;1812,009612;1970,719661;2196,009126;NORDESTE
PA;1500206;Acará;1268,962441;1223,716925;1627,184902;1691,392381;1847,04589;1526,962941;1619,098131;1728,67633;2569,339292;2083,860572;2396,482454;1959,845842;NORTE
CE;2300150;Acarapé;2464,844619;2528,677988;2069,590921;1879,893044;1681,977053;1562,357942;1402,766012;1500,433557;1599,201441;1699,83097;1770,565158;1987,317313;NORDESTE
CE;2300200;Acaraú;1658,692446;1509,053916;1552,326677;1682,063714;1701,506702;1788,308128;1744,477973;1816,279224;1894,108539;2083,580253;2046,260349;2399,509121;NORDESTE
RN;2400109;Acari;1977,467297;1964,243642;1951,531185;2190,198351;2078,179891;2155,230913;2267,386235;2341,041544;2431,839797;2526,619707;2614,401466;2808,758664;NORDESTE
PI;2200053;Acauã;1088,09369;1207,130983;1075,903526;1027,584749;1115,849591;1215,093534;1121,317462;1304,509596;1345,50539;1436,11257;1466,652858;1616,909606;NORDESTE
RS;4300034;Aceguá;;;8869,964243;9715,764073;10934,6634;13100,55799;10970,32806;9541,324733;10378,57095;10508,51664;12857,82336;13606,96479;SUL
CE;2300309;Acopiara;1435,93418;1545,928806;1264,038425;1397,019014;1368,283689;1483,002266;1451,426311;1505,630545;1456,665827;1605,228434;1608,711456;1796,758391;NORDESTE
MT;5100102;Acorizal;2490,811075;2719,685891;2428,697327;2900,914116;3220,021552;4123,428519;5302,722977;3722,006342;4675,835645;4500,395268;4411,452444;4195,459577;CENTRO-OESTE
AC;1200013;Acrelândia;3242,148081;3862,855376;4755,458408;4785,467015;5750,817616;6159,559667;6300,763704;6115,022755;7112,116619;6310,290675;5963,392748;6673,840623;NORTE
GO;5200134;Acreúna;8117,443878;8533,338022;6793,001649;9954,492891;9674,669445;8660,817772;6632,285655;5890,211259;6442,637249;6582,677122;7352,121701;5931,098711;CENTRO-OESTE
RN;2400208;Açu;2425,549945;2710,058272;2670,92636;2778,035236;2406,091183;2466,396641;2740,424061;2876,472475;3029,951594;3060,176652;2869,213665;3384,305869;NORDESTE
MG;3100500;Açucena;1842,340343;1822,089851;1760,920536;1763,320998;1875,23921;1730,27671;1802,351488;1895,941515;1993,172247;2102,250542;2237,655786;2507,137787;SUDESTE
SP;3500105;Adamantina;5552,169348;5353,873185;6343,537309;6430,821626;6569,879575;6130,377024;6406,530017;7172,977853;7137,657499;6699,435115;7461,717826;7369,334097;SUDESTE
GO;5200159;Adelândia;2200,304075;2026,13585;2605,11868;2917,579327;2806,478033;2755,649512;2851,967838;2964,714434;3151,320528;3476,910223;3884,737675;4261,576903;CENTRO-OESTE
SP;3500204;Adolfo;10000,28537;7912,670136;10963,93158;8286,052699;7718,641504;7541,253713;6480,282455;7377,22718;12018,01789;9839,700338;8907,025712;12905,17428;SUDESTE
PR;4100202;Adrianópolis;2317,977408;2382,618841;2103,874002;2323,895237;2743,124996;2821,422861;2939,451846;3180,05609;5401,040968;4353,312299;4763,27174;5982,013906;SUL
BA;2900355;Adustina;2850,017044;2668,665349;1513,288243;1995,652868;1945,446909;2260,31142;2428,669743;2110,801072;3688,015132;2480,559223;2471,057861;2719,127682;NORDESTE
PE;2600104;Afogados da Ingazeira;1709,786705;1757,482476;1941,189038;2145,092889;2021,515768;1930,214615;2013,826577;2130,864503;2304,800509;2331,570874;2463,593905;2514,300704;NORDESTE
RN;2400307;Afonso Bezerra;1478,28077;1605,914544;1445,666028;1550,734629;1454,935727;1547,855597;1467,426265;1594,486481;1880,603296;1728,236355;1854,310524;1927,984961;NORDESTE
ES;3200102;Afonso Cláudio;3099,290461;3738,663869;2807,554453;3095,015821;2869,905426;2809,288316;2925,397432;3083,858782;3612,044826;3202,357858;3305,82922;3504,386604;SUDESTE
MA;2100105;Afonso Cunha;1071,267618;1191,608304;1203,086122;1236,134427;1241,809265;1470,97945;1491,18934;1593,348674;1511,046733;1647,392195;1663,086723;1851,960923;NORDESTE
PE;2600203;Afrânio;1271,274073;1450,154214;1335,702107;1367,25755;1363,151091;1381,548456;1509,11386;1618,814406;1722,282406;1726,110991;1831,311111;2043,24704;NORDESTE
PA;1500305;Afuá;1558,473619;1424,345315;1475,740589;1367,052627;1312,567133;1251,943476;1244,759855;1115,56343;1306,732482;1435,572231;1481,643565;1448,459177;NORTE
PE;2600302;Agrestina;1781,12685;1833,039972;1925,597565;1902,984254;1935,827488;1872,231954;1950,052841;2055,707436;2155,924527;2195,262964;2325,990176;2470,576402;NORDESTE
PI;2200103;Agricolândia;986,3200682;962,7279095;964,5672324;1011,917419;1198,567336;1179,435292;1157,505843;1216,013158;1348,338129;1475,913775;1512,997477;1503,651136;NORDESTE
SC;4200200;Agrolândia;5229,480288;5379,810567;5793,278332;5866,73659;7033,377671;7723,430856;6920,719615;7321,791061;7016,032949;7594,702;6956,155912;7741,054479;SUL
SC;4200309;Agronômica;6108,980445;6779,747542;6720,678207;7975,362978;8631,347905;9764,36753;8775,474675;5987,900099;6459,531704;6999,450026;7886,14719;8620,289926;SUL
PA;1500347;Água Azul do NORTE;1512,662198;1514,318139;2360,206691;2394,386562;2413,282456;2191,231063;3042,854156;3756,195693;4033,822347;3785,396208;2919,695651;3469,641063;NORTE
MG;3100609;Água Boa;2001,697217;3234,515043;2457,280936;2099,601413;2124,656935;2081,29372;2112,12754;1821,909459;2417,992292;2509,270481;2522,951241;2577,166085;SUDESTE
MT;5100201;Água Boa;5320,060975;6585,729896;5929,352776;7032,8459;8990,566968;12266,59223;9786,177825;9078,917907;7332,337757;9270,661804;8767,318277;8962,996623;CENTRO-OESTE
AL;2700102;Água Branca;1281,672762;1497,296474;1402,651146;1219,824399;1074,887483;1125,118288;1307,378593;1342,196654;1424,458697;1462,168986;1432,880279;1574,951008;NORDESTE
PB;2500106;Água Branca;1085,121624;1222,196366;1258,326281;1382,369105;1454,282378;1333,364056;1362,783546;1646,111638;1602,323531;1659,07673;1738,70708;1807,857069;NORDESTE
PI;2200202;Água Branca;1461,727349;1443,798516;1348,451889;1360,925744;1250,497341;1316,325968;1505,851632;1584,950515;1765,471244;1932,605618;1838,681463;2014,850248;NORDESTE
